province,district,latitude,longitude,merged_from
Adana,KARAİSALI,37.2571,35.0587,bunick:town
Adana,POZANTI,37.4231,34.8724,bunick:town
Adana,SARIÇAM,37.0332,35.4124,bunick:town
Adana,YUMURTALIK,36.7674,35.7917,bunick:town
Adıyaman,GÖLBAŞI,37.7847,37.6437,bunick:town
Afyonkarahisar,BAŞMAKÇI,37.8974,30.01,bunick:town
Afyonkarahisar,DAZKIRI,37.9193,29.8606,bunick:town
Afyonkarahisar,KIZILÖREN,38.2578,30.1491,bunick:town
Afyonkarahisar,SANDIKLI,38.4649,30.2693,bunick:town
Afyonkarahisar,SULTANDAĞI,38.5302,31.2294,bunick:town
Ağrı,DOĞUBAYAZIT,39.5484,44.0811,bunick:town
Ağrı,TAŞLIÇAY,39.6348,43.3761,bunick:town
Amasya,GÜMÜŞHACIKÖY,40.8737,35.2157,bunick:town
Ankara,ALTINDAĞ,39.9351,32.8517,bunick:town
Ankara,BEYPAZARI,40.168,31.9207,bunick:town
Ankara,ÇAMLIDERE,40.4914,32.476,bunick:town
Ankara,GÖLBAŞI,39.7899,32.8036,bunick:town
Ankara,KAHRAMANKAZAN,40.2053,32.6806,bunick:town
Ankara,KIZILCAHAMAM,40.4719,32.6482,bunick:town
Ankara,NALLIHAN,40.1887,31.3503,bunick:town
Ankara,POLATLI,39.5848,32.1421,bunick:town
Antalya,DÖŞEMEALTI,37.0229,30.6012,bunick:town
Antalya,ELMALI,36.7377,29.9167,bunick:town
Antalya,İBRADI,37.0957,31.5955,bunick:town
Antalya,KONYAALTI,36.8649,30.6422,bunick:town
Aydın,KOÇARLI,37.7607,27.7064,bunick:town
Aydın,KUŞADASI,37.8695,27.2645,bunick:town
Balıkesir,ALTIEYLÜL,39.6316,27.8879,bunick:town
Balıkesir,AYVALIK,39.318,26.6915,bunick:town
Balıkesir,BANDIRMA,40.2885,27.9624,bunick:town
Balıkesir,SINDIRGI,39.2391,28.1749,bunick:town
Bilecik,GÖLPAZARI,40.2836,30.3155,bunick:town
Bingöl,KARLIOVA,39.2945,41.0101,bunick:town
Bingöl,SOLHAN,38.9669,41.0542,bunick:town
Bingöl,YAYLADERE,39.2275,40.0685,bunick:town
Bingöl,YEDİSU,39.4339,40.5452,bunick:town
Bitlis,MERKEZ,38.398,42.107,bunick:province
Bitlis,ADİLCEVAZ,38.7947,42.7514,bunick:town
Bitlis,AHLAT,38.7524,42.4937,bunick:town
Bitlis,GÜROYMAK,38.5741,42.0253,bunick:town
Bitlis,HİZAN,38.2215,42.4236,bunick:town
Bitlis,MUTKİ,38.4097,41.9184,bunick:town
Bitlis,TATVAN,38.5044,42.28,bunick:town
Bolu,MERKEZ,40.7328,31.6085,bunick:province
Bolu,DÖRTDİVAN,40.7207,32.0626,bunick:town
Bolu,GEREDE,40.7974,32.2017,bunick:town
Bolu,GÖYNÜK,40.3988,30.7859,bunick:town
Bolu,KIBRISCIK,40.4099,31.848,bunick:town
Bolu,MENGEN,40.9389,32.0733,bunick:town
Bolu,MUDURNU,40.4661,31.2113,bunick:town
Bolu,SEBEN,40.4116,31.5735,bunick:town
Bolu,YENİÇAĞA,40.7713,32.0298,bunick:town
Burdur,MERKEZ,37.7181,30.2819,bunick:province
Burdur,AĞLASUN,37.6493,30.5339,bunick:town
Burdur,ALTINYAYLA,36.9983,29.5468,bunick:town
Burdur,BUCAK,37.4565,30.588,bunick:town
Burdur,ÇAVDIR,37.1555,29.6906,bunick:town
Burdur,ÇELTİKÇİ,37.5338,30.4826,bunick:town
Burdur,GÖLHİSAR,37.1511,29.5107,bunick:town
Burdur,KARAMANLI,37.3726,29.8279,bunick:town
Burdur,KEMER,37.3533,30.0611,bunick:town
Burdur,TEFENNİ,37.3078,29.7721,bunick:town
Burdur,YEŞİLOVA,37.5061,29.7533,bunick:town
Bursa,BÜYÜKORHAN,39.7708,28.8861,bunick:town
Bursa,GEMLİK,40.4344,29.1521,bunick:town
Bursa,GÜRSU,40.2182,29.1921,bunick:town
Bursa,HARMANCIK,39.6768,29.1547,bunick:town
Bursa,İNEGÖL,40.08,29.5096,bunick:town
Bursa,İZNİK,40.4294,29.7197,bunick:town
Bursa,KARACABEY,40.216,28.3586,bunick:town
Bursa,KELES,39.9125,29.2335,bunick:town
Bursa,KESTEL,40.2006,29.2126,bunick:town
Bursa,MUDANYA,40.3734,28.8884,bunick:town
Bursa,MUSTAFAKEMALPAŞA,40.0377,28.4083,bunick:town
Bursa,NİLÜFER,40.2164,28.9771,bunick:town
Bursa,ORHANELİ,39.9038,28.9867,bunick:town
Bursa,ORHANGAZİ,40.4906,29.3085,bunick:town
Bursa,OSMANGAZİ,40.1961,29.0602,bunick:town
